ticker,mean,std,skewness,kurtosis,min,p1,p5,median,p95,p99,max,observations
ABEV3.SA,2.7640573018960032e-06,0.0014376427024989332,1.2212354637427234,18.622933070103343,-0.0080124351651242,-0.00395786471439736,-0.0020484631956758,0.0,0.0020554809157147,0.004190129595182044,0.0227139482197693,5681
B3SA3.SA,-2.9644687407555644e-05,0.0021361777899959852,0.12473415938402702,4.683140709184015,-0.0130806811758135,-0.0059555039057187205,-0.0033465154203376,0.0,0.0033132527830344134,0.006327519250628281,0.0145497939167511,5654
BBDC4.SA,-1.366005202477346e-05,0.001449007225189259,0.0950416487760239,5.535207324903045,-0.0128239761662425,-0.003936170280239652,-0.00224541318067534,0.0,0.0022632644164051596,0.0041400440991123,0.009254071542077,5669
CASH3.SA,2.349962682374847e-05,0.0035950263696602077,0.7600136277448821,6.845975040661276,-0.0261608567866973,-0.009359109823125716,-0.005162698949509119,0.0,0.0053908434383076,0.011986538157775182,0.028104867639221,5689
ITUB4.SA,-2.2221074626319728e-05,0.001352339547635942,-0.5707608088197412,15.744410666565527,-0.0215565554797656,-0.00376016321246008,-0.0021010898474003,0.0,0.0020986402037959,0.0037759047073341575,0.0107688339522997,5681
LWSA3.SA,1.4234811061231928e-05,0.0033693254184019757,0.0018532118100240327,7.746085898850071,-0.0367237391971491,-0.008165975563516776,-0.0053050471972173,0.0,0.0053476012130602,0.010040456307792553,0.0262232273489588,5689
MGLU3.SA,-0.00012742991041740225,0.002850152892704714,0.2567072994954627,5.725598337044505,-0.0191262480266249,-0.008056189470309809,-0.0045459157244291445,0.0,0.004413310283101993,0.008520743350609037,0.0216225295032057,5668
PETR4.SA,1.4270094414585732e-06,0.0016682324861338324,-0.03138657160118161,10.291293145441877,-0.0150771780808423,-0.0048167179672390596,-0.0023374561029395,0.0,0.0023131091147328324,0.004959289626559312,0.0132862555874528,5675
TOTS3.SA,-3.884201381989704e-05,0.0024126398419069754,0.2443609727634594,6.850498532523488,-0.0209566883362004,-0.00699339210479524,-0.0037059930247571,0.0,0.00382215977606265,0.007225478942625283,0.0187840094357194,5666
VALE3.SA,5.497708170867394e-07,0.0014046997805398694,-0.011306853446504563,6.206486966491825,-0.0127044424515494,-0.004019641708687875,-0.00213844805212885,0.0,0.00217633014908085,0.004461640452096,0.0081503008339289,5676
WEGE3.SA,-9.80553376495513e-06,0.0018104719959342185,0.11529065088533362,5.156212607707271,-0.0132529768069233,-0.005167110953304396,-0.002854993886589945,0.0,0.00290492156971498,0.005263827427199961,0.0147970578116813,5672
