ticker,total_days,jump_days,jump_day_percentage,mean_jump_share,max_jump_share,max_jump_date,max_jump_z
ABEV3.SA,60,10,0.16666666666666666,0.11465487361623711,0.4766613982404395,2026-04-08,4.987258230282089
B3SA3.SA,60,5,0.08333333333333333,0.07938851548807462,0.3768152720715392,2026-04-28,3.983739523761189
BBDC4.SA,60,7,0.11666666666666667,0.09589164513886532,0.3480327764661545,2026-05-27,3.7558811113939305
CASH3.SA,60,22,0.36666666666666664,0.21510713686197205,0.4749943060962041,2026-05-27,5.340835103423853
ITUB4.SA,60,3,0.05,0.06730781711501523,0.2948831598357714,2026-05-06,2.7226961400734573
LWSA3.SA,60,21,0.35,0.1894728931692779,0.5491318138585979,2026-05-05,4.768684289284589
MGLU3.SA,60,6,0.1,0.11802365115828659,0.433312317835491,2026-04-17,4.235788382198122
PETR4.SA,60,8,0.13333333333333333,0.12341365895782787,0.4195157898946414,2026-05-08,4.778197958561689
TOTS3.SA,60,10,0.16666666666666666,0.12882906797901217,0.6071740531725851,2026-03-27,5.845385528413154
VALE3.SA,60,2,0.03333333333333333,0.07840907976026282,0.3209707567695323,2026-05-20,3.724482801952026
WEGE3.SA,60,8,0.13333333333333333,0.07395143985769394,0.3371197721915456,2026-03-30,3.887946812201539
