ticker,mean_rv,mean_rvol_daily,mean_rvol_annualized,median_rvol_annualized,p90_rvol_annualized,p95_rvol_annualized,max_rvol_annualized,mean_bv,mean_jv,days
ABEV3.SA,0.00019565935583974782,0.013461136982425344,0.21368892491803212,0.20948137306528758,0.26375720722167345,0.2706352630046565,0.568335156447306,0.00017059413637498003,2.9070995875348608e-05,60
B3SA3.SA,0.00043001754007288164,0.020361776241887834,0.32323317712547206,0.3142676068187206,0.4130483756566108,0.435486883523145,0.4663104139480986,0.0004056452037798116,3.625093510059368e-05,60
BBDC4.SA,0.00019836191611305394,0.013819513145679618,0.219377970140738,0.21373602195406685,0.2782556742784386,0.2948795544932061,0.3392054485418272,0.00018213604922893303,1.787704694287435e-05,60
CASH3.SA,0.001225267904783865,0.03427357497800744,0.5440761355976031,0.5316491916625063,0.6663178581950058,0.7115050117405055,0.986500274219542,0.0009589509926479084,0.0002698169029125235,60
ITUB4.SA,0.0001731752589046208,0.012795439649265073,0.20312130736614617,0.18726701799769946,0.2633636950499215,0.2683588072030276,0.442378595010617,0.00016421180137039335,1.4333166523924114e-05,60
LWSA3.SA,0.0010762223505650097,0.032078383958249405,0.5092285584862309,0.48785379449391497,0.6703466967641317,0.677842047777599,0.9109821496128452,0.00086384238878419,0.0002140607621812309,60
MGLU3.SA,0.0007687864251149216,0.026981639442340857,0.4283202475754732,0.41274761862381,0.5465566112454409,0.6030916761176272,0.8142270724495367,0.0006816786955852466,9.026290649632861e-05,60
PETR4.SA,0.0002631791907401803,0.015666105670637094,0.24869171770418777,0.23214903007405163,0.3305899767876974,0.3931921869697889,0.4566446077757097,0.0002352981127023958,3.073743438055852e-05,60
TOTS3.SA,0.0005497259326503316,0.02282690102756028,0.36236581992725636,0.35076345089988364,0.4616673139651433,0.5147531025545853,0.6746095503147842,0.0004832260436550517,7.081901298241362e-05,60
VALE3.SA,0.00018663010962297353,0.013444769628895738,0.2134291012356745,0.20790288325988915,0.2665587521060798,0.27734427945840634,0.3358024539460292,0.0001739360410640366,1.5824452479422948e-05,60
WEGE3.SA,0.00030981665552675763,0.017250255731288456,0.2738393203035362,0.2668532126806661,0.33046667555702797,0.3749122145089814,0.4990499834037444,0.00028993324377014267,2.5211873174154312e-05,60
