ticker,omega,alpha,beta,alpha_plus_beta,log_likelihood,aic,bic,correlation_garch_realized,observations_used,fit_status
ABEV3.SA,0.35201648783493955,0.0,0.9417503331908311,0.9417503331908311,-132.03422737457274,272.0684547491455,280.3786045247684,-0.05547040119479801,59,ok
B3SA3.SA,0.47355725190181547,0.0,0.9192035124902459,0.9192035124902459,-140.67626100836176,289.3525220167235,297.66267179234643,0.4547666696900672,59,ok
BBDC4.SA,3.475337555231363e-08,0.0,0.990640680536115,0.990640680536115,-119.63759839825534,247.27519679651067,255.58534657213355,0.16074942209848128,59,ok
CASH3.SA,1.1314891200021502,2.3173556219218456e-17,0.868914012766817,0.868914012766817,-154.30718366450822,316.61436732901643,324.92451710463934,0.35498740490948216,59,ok
ITUB4.SA,3.3580389361215905e-08,9.625560666190219e-11,0.9925822893807322,0.9925822894769878,-117.51697361155266,243.03394722310532,251.3440969987282,0.13101190402841625,59,ok
LWSA3.SA,8.199946846182082e-08,1.9079660407979943e-12,0.9931310652873353,0.9931310652892432,-145.30756103352155,298.6151220670431,306.925271842666,0.0846619972890572,59,ok
MGLU3.SA,5.265608003453463,2.2808917635035612e-14,0.5019277823564643,0.501927782356487,-153.15390449554513,314.30780899109027,322.6179587667132,0.23427438404507717,59,ok
PETR4.SA,3.8029708165802454e-08,0.10642167136270365,0.8730832662181006,0.9795049375808043,-120.0830624798562,248.1661249597124,256.47627473533527,0.28519937647464716,59,ok
TOTS3.SA,0.09180168202558674,5.588533670830459e-11,0.9999999957733628,0.9999999958292481,-142.10676403916574,292.2135280783315,300.5236778539544,0.29716959108693963,59,ok
VALE3.SA,2.2261255470543535,0.17509727222348848,0.1802575428007602,0.3553548150242487,-119.37971612311533,246.75943224623066,255.06958202185353,-0.04109448363588505,59,ok
WEGE3.SA,4.598750155794681,0.0166284019084208,0.0,0.0166284019084208,-129.22236590277578,266.44473180555156,274.75488158117446,0.11429585711585823,59,ok
