ticker,date,n_intraday_returns,rv,rvol_daily,rvol_annualized,bv,tq,jv,jump_share,jump_z,jump_critical_value,jump_day,jump_test_status
ABEV3.SA,2026-03-17,82,0.00020290594316594348,0.014244505718554908,0.22612451808200223,0.0001967842818091372,4.424782577475413e-08,6.121661356806279e-06,0.030169946041451203,0.3275061644503349,2.3263478740408408,False,ok
ABEV3.SA,2026-03-18,82,0.00019976574504698602,0.014133851033847287,0.22436792941915848,0.00017765675390580727,4.206656965761067e-08,2.2108991141178745e-05,0.1106745860556753,1.1124015531106999,2.3263478740408408,False,ok
ABEV3.SA,2026-03-19,82,0.00028341317157276554,0.016834879612660305,0.2672454288408633,0.00025699341073559176,1.393317437208665e-07,2.6419760837173773e-05,0.09321994701432065,0.7447427959289822,2.3263478740408408,False,ok
ABEV3.SA,2026-03-20,81,0.00028383603660244843,0.01684743412518501,0.2674447255486954,0.00023817274379827412,5.168713391635542e-08,4.566329280417431e-05,0.16087912356291834,1.8553924367593413,2.3263478740408408,False,ok
ABEV3.SA,2026-03-23,82,0.0001939038429592844,0.01392493601275368,0.2210515062734015,0.00020062942823935613,3.815876887536138e-08,0.0,0.0,-0.4024798797163452,2.3263478740408408,False,ok
ABEV3.SA,2026-03-24,81,0.0001792313805381717,0.013387732464393353,0.21252366431910416,0.00013145610979488757,2.579361410789172e-08,4.777527074328414e-05,0.26655639542490284,2.516227323928764,2.3263478740408408,True,ok
ABEV3.SA,2026-03-25,81,0.00014694567682893206,0.012122115196158304,0.19243261303867096,0.00012913414127558762,1.5506357698833877e-08,1.781153555334444e-05,0.12121170175070801,1.3979145938536781,2.3263478740408408,False,ok
ABEV3.SA,2026-03-26,82,0.00015651089856210564,0.012510431589761627,0.19859694468357417,0.00010405969360916067,1.3654610755293514e-08,5.245120495294497e-05,0.3351281312344624,3.4630142005655027,2.3263478740408408,True,ok
ABEV3.SA,2026-03-27,81,0.00017993204407728484,0.013413875058210616,0.2129386651303041,0.00011160151688791708,1.3634788829208502e-08,6.833052718936777e-05,0.37975741085905895,4.18589410698275,2.3263478740408408,True,ok
ABEV3.SA,2026-03-30,82,0.000109070684737537,0.01044369114525784,0.16578845723951752,0.00010265390438177286,1.7995006951285424e-08,6.416780355764139e-06,0.0588313933409807,0.5224071399607417,2.3263478740408408,False,ok
ABEV3.SA,2026-03-31,82,0.0002031188530676193,0.014251977163454175,0.22624312359282894,0.00022709599102432282,1.3302005373383392e-07,0.0,0.0,-0.8529007997666913,2.3263478740408408,False,ok
ABEV3.SA,2026-04-01,82,0.00020096006097953484,0.014176038268131715,0.22503763100166777,0.00019168401944360836,6.083143412807138e-08,9.276041535926483e-06,0.046158632171549384,0.4162701962576385,2.3263478740408408,False,ok
ABEV3.SA,2026-04-02,81,0.00024074129115350497,0.01551584000798877,0.2463063242604283,0.00025467708150607964,1.2783259000861615e-07,0.0,0.0,-0.47553904294158095,2.3263478740408408,False,ok
