ticker,date,daily_close,intraday_observations,daily_log_return,daily_return_pct
ABEV3.SA,2026-03-17,15.020000457763672,95,,
ABEV3.SA,2026-03-18,14.770000457763672,95,-0.016784549276841254,-1.6784549276841254
ABEV3.SA,2026-03-19,14.739999771118164,95,-0.00203325630283846,-0.20332563028384598
ABEV3.SA,2026-03-20,14.420000076293944,94,-0.02194873408560527,-2.194873408560527
ABEV3.SA,2026-03-23,14.729999542236328,95,0.021270062249929556,2.1270062249929556
ABEV3.SA,2026-03-24,14.75,94,0.0013568833882540154,0.13568833882540154
ABEV3.SA,2026-03-25,15.0,94,0.016807118316381153,1.6807118316381153
ABEV3.SA,2026-03-26,14.869999885559082,95,-0.0087044483262404,-0.8704448326240399
ABEV3.SA,2026-03-27,14.770000457763672,94,-0.006747625239880595,-0.6747625239880595
ABEV3.SA,2026-03-30,14.869999885559082,95,0.006747625239880595,0.6747625239880595
ABEV3.SA,2026-03-31,15.25,95,0.025233750277450895,2.5233750277450895
ABEV3.SA,2026-04-01,15.399999618530272,95,0.009787981595401174,0.9787981595401174
ABEV3.SA,2026-04-02,15.239999771118164,94,-0.010443949408814657,-1.0443949408814657
ABEV3.SA,2026-04-06,15.489999771118164,95,0.016271104412667103,1.6271104412667103
ABEV3.SA,2026-04-07,15.43000030517578,95,-0.003880953499524775,-0.3880953499524775
ABEV3.SA,2026-04-08,15.90999984741211,94,0.03063414660585506,3.063414660585506
ABEV3.SA,2026-04-09,16.1200008392334,94,0.013112956381101437,1.3112956381101437
ABEV3.SA,2026-04-10,16.15999984741211,95,0.0024782545105233034,0.24782545105233034
ABEV3.SA,2026-04-13,15.979999542236328,94,-0.011201131958538113,-1.1201131958538113
ABEV3.SA,2026-04-14,15.90999984741211,94,-0.0043900789330866274,-0.43900789330866274
ABEV3.SA,2026-04-15,15.829999923706056,94,-0.00504096368566298,-0.504096368566298
ABEV3.SA,2026-04-16,15.420000076293944,94,-0.026241495990431574,-2.6241495990431574
ABEV3.SA,2026-04-17,15.3100004196167,95,-0.007159136005303601,-0.7159136005303601
ABEV3.SA,2026-04-20,15.329999923706056,95,0.001305450829342636,0.1305450829342636
ABEV3.SA,2026-04-22,15.029999732971191,95,-0.019763501908453662,-1.9763501908453662
ABEV3.SA,2026-04-23,14.789999961853027,95,-0.016096911855027596,-1.6096911855027596
ABEV3.SA,2026-04-24,14.520000457763672,95,-0.018424233220394548,-1.8424233220394548
ABEV3.SA,2026-04-27,14.550000190734863,94,0.0020639658033534403,0.20639658033534403
ABEV3.SA,2026-04-28,14.59000015258789,95,0.002745366266656113,0.2745366266656113
ABEV3.SA,2026-04-29,14.350000381469728,94,-0.016586404204196548,-1.6586404204196548
ABEV3.SA,2026-04-30,14.59000015258789,95,0.016586404204196548,1.6586404204196548
ABEV3.SA,2026-05-04,14.460000038146973,94,-0.008950153624360802,-0.8950153624360802
ABEV3.SA,2026-05-05,16.6299991607666,94,0.13982202337108607,13.982202337108607
ABEV3.SA,2026-05-06,16.950000762939453,95,0.01905963609782768,1.9059636097827681
ABEV3.SA,2026-05-07,16.3700008392334,95,-0.034817436188045114,-3.4817436188045114
ABEV3.SA,2026-05-08,16.280000686645508,95,-0.005513039897954819,-0.5513039897954819
ABEV3.SA,2026-05-11,16.25,95,-0.001844493975889261,-0.1844493975889261
ABEV3.SA,2026-05-12,16.149999618530273,95,-0.006172882727497608,-0.6172882727497608
ABEV3.SA,2026-05-13,15.890000343322754,95,-0.016230023893409662,-1.6230023893409662
ABEV3.SA,2026-05-14,15.770000457763672,95,-0.007580572152392939,-0.7580572152392939
ABEV3.SA,2026-05-15,15.729999542236328,95,-0.0025397420335742105,-0.25397420335742105
ABEV3.SA,2026-05-18,15.84000015258789,95,0.0069687080504814425,0.6968708050481442
ABEV3.SA,2026-05-19,15.850000381469728,95,0.000631128371426648,0.0631128371426648
ABEV3.SA,2026-05-20,16.25,94,0.02492338438496633,2.492338438496633
ABEV3.SA,2026-05-21,16.440000534057617,95,0.01162451333754344,1.162451333754344
ABEV3.SA,2026-05-22,16.139999389648438,95,-0.018416797087569936,-1.8416797087569936
ABEV3.SA,2026-05-25,16.3799991607666,95,0.014760402163951802,1.4760402163951802
ABEV3.SA,2026-05-26,16.559999465942383,94,0.010929089517585311,1.092908951758531
ABEV3.SA,2026-05-27,16.600000381469727,95,0.0024126016353442914,0.24126016353442914
ABEV3.SA,2026-05-28,16.270000457763672,95,-0.020079768976211554,-2.0079768976211554
ABEV3.SA,2026-05-29,16.40999984741211,95,0.008567946437139984,0.8567946437139984
ABEV3.SA,2026-06-01,16.399999618530273,94,-0.00060958423372659,-0.060958423372659
ABEV3.SA,2026-06-02,16.420000076293945,95,0.0012187971008823517,0.12187971008823517
ABEV3.SA,2026-06-03,16.06999969482422,95,-0.021545947911667973,-2.1545947911667973
ABEV3.SA,2026-06-05,16.209999084472656,94,0.0086741185093957,0.8674118509395701
ABEV3.SA,2026-06-08,16.010000228881836,95,-0.012414737963610367,-1.2414737963610367
ABEV3.SA,2026-06-09,16.190000534057617,95,0.01118025937162237,1.118025937162237
ABEV3.SA,2026-06-10,16.209999084472656,95,0.0012344785919879975,0.12344785919879975
ABEV3.SA,2026-06-11,16.559999465942383,95,0.02136183743884379,2.136183743884379
ABEV3.SA,2026-06-12,16.59000015258789,95,0.0018099966926783395,0.18099966926783395
B3SA3.SA,2026-03-17,17.600000381469727,94,,
B3SA3.SA,2026-03-18,17.139999389648438,94,-0.026484046158664842,-2.6484046158664842
B3SA3.SA,2026-03-19,16.860000610351562,94,-0.016470888784988258,-1.6470888784988258
B3SA3.SA,2026-03-20,16.110000610351562,94,-0.045503753699483784,-4.550375369948378
B3SA3.SA,2026-03-23,17.239999771118164,94,0.0677920168839532,6.77920168839532
B3SA3.SA,2026-03-24,17.34000015258789,94,0.005783728192820359,0.5783728192820359
B3SA3.SA,2026-03-25,18.020000457763672,94,0.03846629743112251,3.846629743112251
B3SA3.SA,2026-03-26,17.809999465942383,94,-0.01172221026810183,-1.172221026810183
B3SA3.SA,2026-03-27,17.280000686645508,94,-0.030210264202840786,-3.0210264202840786
B3SA3.SA,2026-03-30,17.1200008392334,95,-0.009302383378101187,-0.9302383378101187
B3SA3.SA,2026-03-31,18.39999961853028,94,0.07210322414865233,7.210322414865233
B3SA3.SA,2026-04-01,18.530000686645508,94,0.007040433470260954,0.7040433470260954
B3SA3.SA,2026-04-02,18.600000381469727,94,0.003770523875129772,0.3770523875129772
B3SA3.SA,2026-04-06,18.38999938964844,94,-0.011354595801369438,-1.1354595801369438
B3SA3.SA,2026-04-07,18.0,95,-0.021435247530746437,-2.1435247530746437
B3SA3.SA,2026-04-08,18.76000022888184,94,0.04135519788243869,4.135519788243869
B3SA3.SA,2026-04-09,19.14999961853028,95,0.020575739927962022,2.0575739927962022
B3SA3.SA,2026-04-10,19.489999771118164,94,0.017598806069351713,1.7598806069351713
B3SA3.SA,2026-04-13,19.309999465942383,94,-0.009278432992543273,-0.9278432992543273
B3SA3.SA,2026-04-14,19.65999984741211,94,0.017963038174309442,1.7963038174309442
B3SA3.SA,2026-04-15,19.799999237060547,94,0.0070957922105101545,0.7095792210510155
B3SA3.SA,2026-04-16,19.700000762939453,95,-0.0050632246963600025,-0.5063224696360002
